"source_path","owner","action","notes"
"AGENTS.md","Community","Revise","Align agent overview with new contributor hub messaging"
"benchmarks/README.md","Operations & Integrations","Merge","Roll into benchmarks overview under Core Platform metrics section"
"benchmarks/results/accuracy_benchmark_20250623_184135.md","Operations & Integrations","Keep","Keep as raw appendix linked from benchmarks summary"
"benchmarks/results/accuracy_benchmark_report.md","Operations & Integrations","Keep","Keep as historical report with light cross-linking"
"benchmarks/results/benchmark_report_20250623_184135.md","Operations & Integrations","Keep","Keep as dated appendix accessible via archive index"
"benchmarks/results/benchmark_report.md","Operations & Integrations","Revise","Refresh summary narrative to match new benchmarking story"
"benchmarks/results/README.md","Operations & Integrations","Merge","Roll into benchmarks archive index page"
"benchmarks/results/speed_benchmark_report.md","Operations & Integrations","Keep","Keep as raw appendix linked from operations performance section"
"benchmarks/SETUP.md","Operations & Integrations","Revise","Integrate instructions into benchmarks how-to under Core Platform"
"CHANGELOG.md","Contribute & Changelog","Keep","Expose through Contribute & Changelog nav pillar"
"CLAUDE.md","Internal Docs","Revise","Add anchor and structure guidance updates called out in spec"
"CONTRIBUTING.md","Community","Keep","Surface under Contribute & Changelog pillar without major edits"
"CRUSH.md","Core Docs","Retire","Fold salient points into new value proposition messaging"
"docs/api.md","Python Library","Revise","Become API overview landing linking to SDK references"
"docs/api/cli.md","Python Library","Revise","Restructure into CLI reference nested in Python pillar with parity notes"
"docs/api/configuration.md","Python Library","Revise","Align with new configuration reference master page"
"docs/api/embedding.md","Python Library","Revise","Ensure examples highlight Postgres hand-off where relevant"
"docs/api/generation.md","Python Library","Revise","Include deterministic path callouts referencing Core Platform"
"docs/api/index.md","Python Library","Merge","Convert into autogenerated table of contents page"
"docs/architecture.md","Core Docs","Revise","Refresh diagrams and link to both Python and Postgres flows"
"docs/benchmarks.md","Core Docs","Revise","Serve as benchmarks landing summarizing metrics before linking to appendices"
"docs/cache-backends.md","Operations & Integrations","Revise","Update to reflect cache backends for both SDK and extension"
"docs/concepts.md","Core Docs","Merge","Distribute foundational concepts across Core Platform hub pages"
"docs/configuration-reference.md","Operations & Integrations","Revise","Split shared versus surface-specific knobs and cross-link"
"docs/contributing.md","Contribute & Changelog","Merge","Merge into CONTRIBUTING.md or convert to contributor landing"
"docs/deployment.md","Operations & Integrations","Revise","Serve as deployment overview with branching guides"
"docs/deployment/cloudflare.md","Operations & Integrations","Revise","Frame as Cloudflare and D1 recipe under Postgres operations"
"docs/deployment/production.md","Operations & Integrations","Revise","Highlight production checklists for both pillars"
"docs/eos-string-implementation.md","Core Docs","Keep","Link from architecture deep dive as supporting detail"
"docs/examples/basic-usage.md","Python Library","Revise","Move into Python tutorials track introduction"
"docs/examples/caching.md","Operations & Integrations","Revise","Present as cross-pillar caching recipe referencing both surfaces"
"docs/examples/content-management.md","Python Library","Revise","Keep as vertical example under Python tutorials"
"docs/examples/customer-intelligence.md","Python Library","Revise","Keep as vertical example with parity notes"
"docs/examples/custom-seeds.md","Python Library","Revise","Ensure messaging matches deterministic story"
"docs/examples/daemon-usage.md","Core Docs","Revise","Place under Core Platform daemon guide with dual-language snippets"
"docs/examples/data-pipelines.md","Python Library","Revise","Retain as pipeline tutorial under Python track"
"docs/examples/error-handling.md","Python Library","Revise","Update to include Postgres error parity pointers"
"docs/examples/index.md","Core Docs","Merge","Replace with new examples hub linking to Python and Postgres subsections"
"docs/examples/log-analysis.md","Python Library","Revise","Keep as vertical example under Python tutorials"
"docs/examples/performance-tuning.md","Operations & Integrations","Revise","Highlight shared tuning guidance referencing both pillars"
"docs/examples/postgresql-analytics.md","Postgres Extension","Revise","Slot into Postgres tutorials channel"
