# Category, Subcategory, ROI, Name, lat, lon_e, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), UVS, JANUS HR, JANUS COLOR, JANUS STEREO, MAJIS, SWI, RIME, GALA, PEP/RPWI, J-MAG
# 1, 0, #0036fc, Polar Deposits, ---, ---, ---, ---, ---, ---, Surface features where influences of the transition to polar caps onto the compositional/geological properties are expected, Characterize the local environment and its interaction with the Jovian magnetosphere-comparison with Ganymede (CA/GC),,,,,,,,,,
1, 0, 1, Keelut, -76.5, 269.0, -81.0, -72.0, 260.0, 278.0, Impact crater with a central pit and possibly bright polar deposits on the crater floor, Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1
1, 0, 2, Fulla, 69.0, 246.2, 53.0, 85.0, 229.0, 263.5, Portion of the northern polar region including impact crater Fulla (~60 km), Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 3, Sköll, 69.0, 59.5, 53.0, 85.0, 42.0, 77.0, Portion of the northern polar region with impact crater Sköll in the SE (~60 km), Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1
1, 0, 4, None, -69.0, 246.2, -85.0, -53.0, 229.0, 263.5, Poorly imaged region of the southern polar cap including a central pit crater with the crater floor possibly covered by polar frost, Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 5, None, 68.5, 333.5, 61.0, 76.0, 322.0, 345.0, Unnamed impact crater with bright deposits of unkown origin near crater Hepti and Gipul Catena (#4.7.4), Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 6, None, -66.0, 133.0, -78.0, -54.0, 118.0, 148.0, Poorly imaged group of unnamed bright impact craters with possible polar deposits, Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 7, None, -69.0, 59.5, -85.0, -53.0, 42.0, 77.0, Portion of the southern polar region with numerous impact craters of different sizes possibly partly covered with polar deposits, Study effects of external environment (temperature; radiation and composition (radiation products; icy properties) of possible polar deposits at high latitude in comparison to Ganymede at a similar location on the body, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
# 2, 0, #f30302, Potential Cryovolcanic Regions, ---, ---, ---, ---, ---, ---, ---, ---,,,,,,,,,,
# 3, 0, #0a9415, Dark Ray. Floor. Halo Craters, ---, ---, ---, ---, ---, ---, High concentrations of dark material related to fresh impact features, Characterise the outer shell/Determine the composition of the non-ice material (CA/CB),,,,,,,,,,
3, 0, 1, Jalkr, -38.5, 277.0, -42.0, -35.0, 273.0, 281.0, Comparably pristine dome crater superimposed by a fresh crater and its ejecta deposits characterized by undefined albedo differences, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
3, 0, 2, Yuryung, -54.5, 274.5, -57.0, -52.0, 271.0, 278.0, Undefined albedo differences on the crater floor, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
3, 0, 3, Biflindi, -53.0, 286.0, -56.0, -50.0, 282.5, 289.5, Dome crater with dark deposits along the crater wall, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
3, 0, 4, Nakki, -56.0, 290.5, -59.0, -53.0, 287.0, 294.0, Dome crater with dark deposits along the crater wall, Study dark crater material. Investigate properties and nature and origin of dark crater material in relation to substrate and subsurface properties (dark terrain), 1, 1, 1, 1, 1, 0, 1, 1, 0, 0
