Property,Type,Units,Description,URL
"A - U0#Thermomechanical#{model}",float,kJ/mol,"Helmholtz free energy",https://en.wikipedia.org/wiki/Helmholtz_free_energy
"Cv#Thermomechanical#{model}",float,J/mol/K,"Constant volume heat capacity",https://en.wikipedia.org/wiki/Heat_capacity
"Debye temperature#Thermomechanical#{model}",float,K,"The Debye temperature",https://en.wikipedia.org/wiki/Debye_model
"Gruneisen parameter#Thermomechanical#{model}",float,,"Gruneisen parameter",https://en.wikipedia.org/wiki/Grüneisen_parameter
"P#Thermomechanical#{model}",float,atm,"The pressure.",https://en.wikipedia.org/wiki/Pressure
"Pcauchy#Thermomechanical#{model}",float,GPa,"Cauchy pressure",
"Poisson ratio#Thermomechanical#{model}",float,,"Poissons ratio",https://en.wikipedia.org/wiki/Poisson%27s_ratio
"Pugh's ductility criterion#Thermomechanical#{model}",float,,"Pugh's ductility criterion",https://en.wikipedia.org/wiki/Metal
"S#Thermomechanical#{model}",float,J/mol/K,"Entropy",https://en.wikipedia.org/wiki/Entropy
"T#Thermomechanical#{model}",float,K,"The temperature",https://en.wikipedia.org/wiki/Temperature
"U - U0#Thermomechanical#{model}",float,kJ/mol,"Internal energy",https://en.wikipedia.org/wiki/Internal_energy
"Vickers hardness [Chen]#Thermomechanical#{model}",float,,"Vickers hardness -- Chen's model",https://en.wikipedia.org/wiki/Vickers_hardness_test
"Vickers hardness [Tian]#Thermomechanical#{model}",float,,"Vickers hardness -- Tian's model",https://en.wikipedia.org/wiki/Vickers_hardness_test
"Young modulus#Thermomechanical#{model}",float,GPa,"Young modulus",https://en.wikipedia.org/wiki/Young%27s_modulus
"alpha#Thermomechanical#{model}",json,1/K,"Linear coefficient of thermal expansion",https://en.wikipedia.org/wiki/Thermal_expansion
"bulk modulus#Thermomechanical#{model}",float,GPa,"Bulk modulus",https://en.wikipedia.org/wiki/Bulk_modulus
"longitudinal sound velocity#Thermomechanical#{model}",float,m/s,"The longitudinal sound velocity",https://en.wikipedia.org/wiki/Speed_of_sound
"mean sound velocity#Thermomechanical#{model}",float,m/s,"The mean sound velocity",https://en.wikipedia.org/wiki/Speed_of_sound
"shear modulus#Thermomechanical#{model}",float,GPa,"Shear modulus",https://en.wikipedia.org/wiki/Shear_modulus
"transverse sound velocity#Thermomechanical#{model}",float,m/s,"The transverse sound velocity",https://en.wikipedia.org/wiki/Speed_of_sound
