# Category, Subcategory, ROI, Name, lat, lon_e, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), UVS, JANUS HR, JANUS COLOR, JANUS STEREO, MAJIS, SWI, RIME, GALA, PEP/RPWI, J-MAG
# 1, 0, #0036fc, Polar Deposits, ---, ---, ---, ---, ---, ---, Surface features where influences of the transition to polar caps onto the compositional/geological properties are expected, Characterize the local environment and its interaction with the Jovian magnetosphere (GB/GC/GE),,,,,,,,,,
1, 0, 1, Harakhtes, 40.0, 260.0, 34.0, 46.0, 252.0, 268.0, Old impact craters with bright floor deposits in Galileo Regio. Additional features: furrows in dark terrain units; palimpsests, Study transition to northern polar caps in the dark terrain; map polar cap boundaries and thickness of the polar deposits in the dark terrain; study influence of external environment onto local impact features (morphology; topography; composition), 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 2, Xibalba Sulcus, 38.5, 281.0, 31.0, 46.0, 270.0, 292.0, Bright terrain in and outside the northern polar cap. Additional features: linear remnants of dark terrain within bright terrain; possible insight into tectonic resurfacing of dark in to bright terrain, Transition to polar caps in the bright terrain; map polar cap boundaries in the bright terrain; map changes in composition and physical surface properties (radiation products in ice; ice grain size; crystallinity), 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 3, Osiris, -44.5, 188.5, -62.0, -27.0, 167.0, 210.0, Bright ray crater near transition to southern polar cap (area of open field lines combined with pronounced plasma precipitation). Additional features: important type locality for relatively young bright ray craters representing stratigraphic markers, Influence of transition to polar caps and changing external environment onto crater morphology; retention of bright rays and crater material composition, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 4, Ptah, -66.0, 140.5, -80.0, -52.0, 125.0, 156.0, Bright ray crater near transition to southern polar cap (area of open field lines combined with pronounced plasma precipitation). Additional features: similar to Osiris (#1.0.3) but at different latitude, Study the southern polar caps and the influence of polar deposits and external environment onto crater morphology and crater material composition, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 5, Tashmetum, -40.0, 92.5, -53.0, -27.0, 75.0, 110.0, Bright ray crater near transition to southern polar cap. Additional features: similar to Osiris (#1.0.3) but at different hemisphere; possibly an oblique impact inferred from bilateral symmetry in ejecta pattern, Influence of transition to polar caps and changing external environment onto crater morphology; retention of bright rays and crater material composition, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 6, Hershef, 46.5, 89.5, 37.0, 56.0, 77.0, 102.0, Additional features: similar to Osiris (#1.0.3) but at different hemisphere, Influence of transition to polar caps and changing external environment onto crater morphology; retention of bright rays and crater material composition, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 7, Galileo Regio, 47.0, 218.5, 37.0, 57.0, 208.0, 229.0, Ancient dark surface material near the transition to the northern polar region. Additional features: similar to Osiris (#1.0.3); possibly an oblique impact inferred from bilateral symmetry in ejecta pattern, Study effects of external environment (temperature; radiation; thickness of polar caps and composition (radiation products; icy properties) of polar deposits) onto dark ancient terrain, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 8, None, 72.0, 57.0, 61.0, 83.0, 47.0, 67.0, Poorly resolved bright terrain in the northern polar region, Study effects of external environment (temperature; radiation; thickness of polar caps and composition (radiation products; icy properties) of polar deposits) onto bright terrain, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 9, None, 72.5, 171.0, 60.0, 85.0, 155.0, 187.0, Poorly resolved dark and bright terrain in the northern polar region, Study effects of external environment (temperature; radiation; thickness of polar caps and composition (radiation products; icy properties) of polar deposits) onto dark and bright terrain, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 10, None, 72.5, 310.0, 62.0, 83.0, 297.0, 323.0, Poorly resolved bright terrain in the northern polar region around impact crater Neheh (area of open field lines combined with pronounced plasma precipitation). Additional features: extensively resurfaced bright terrain; dome crater, study influence of polar environment in the bright terrain; map changes in composition and physical surface properties (radiation products in ice; ice grain size; crystallinity); morphology of impact features, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
